                                                                         LISTAS DE REPRODUCCION DE SPOTIFY
                             ARTISTA                             CANCION                      REPRODUCCIONES                            BAILABLE
                        Paulo Londra                          Adan y Eva                              256971                               0.767
                          Pedro Capo                               Calma                              238200                               0.826
                          Peking Duk                                High                              228000                               0.525
                            Pendulum                  Propane Nightmares                              313346                               0.356
                         Petey Pablo                               Freek                              235186                               0.737
                       Petit Biscuit                        Sunset Lover                              237792                               0.783
                   Pharrell Williams                               Happy                              232720                               0.647
                   Pharrell Williams                            Frontin'                              236506                               0.894
                       Philip George                  Wish You Were Mine                              177560                               0.654
                             Pia Mia                         Do It Again                              207746                               0.712
                             Pitbull                            Hey Baby                              234453                               0.595
                             Pitbull                  Hotel Room Service                              238506                               0.849
                             Pitbull                  I Know You Want Me                              237120                               0.825
                             Pitbull                  Give Me Everything                              252306                               0.671
                             Pitbull                              Timber                              204160                               0.581
                             Pitbull                  International Love                              227280                                0.67
                             Pitbull                Don't Stop the Party                              206120                               0.722
                             Pitbull                   Time of Our Lives                              229360                               0.721
                             Pitbull                    Feel This Moment                              229506                               0.673
                          Pixie Lott                             Mama Do                              196520                               0.451
                     Plain White T's                   Hey There Delilah                              232533                               0.656
                              Plan B                            She Said                              208853                                0.72
                       Playboi Carti                            Magnolia                              181812                               0.791
                               Plies                Bust It Baby - Pt. 2                              240760                               0.648
                               Plies                          Hypnotized                              188493                                0.84
                               Plies                              Shawty                              255413                               0.444
                              Polo G                             Pop Out                              166560                               0.772
                         Post Malone                           Sunflower                              157560                               0.755
                         Post Malone                              Psycho                              221440                                0.75
                         Post Malone                          Better Now                              231266                                0.68
                         Post Malone                     Congratulations                              220293                                0.63
                         Post Malone                          Better Now                              231266                                0.68
                         Post Malone                            Goodbyes                              174960                                0.58
                         Post Malone                            rockstar                              218146                               0.585
                         Post Malone                                Wow.                              149546                               0.829
                         Post Malone                             Circles                              215280                               0.695
                        Pretty Ricky                      On the Hotline                              242586                               0.704
                        Pretty Ricky                           Your Body                              240040                               0.838
                        Pretty Ricky                       Grind With Me                              237733                                 0.7
                     Professor Green                   Read All About It                              235735                               0.656
                      Puddle Of Mudd                              Blurry                              303920                               0.432
                      Puddle Of Mudd                        She Hates Me                              216760                                0.58
                             R. City                         Locked Away                              227480                               0.509
                      Rachel Stevens               Sweet Dreams My LA Ex                              208386                                0.85
                        Rae Sremmurd                               Swang                              208120                               0.681
                        Rae Sremmurd                             No Type                              200080                               0.891
                        Rae Sremmurd                          Powerglide                              332300                               0.713
                        Rae Sremmurd                       Black Beatles                              291893                               0.794
                      Rag'n'Bone Man                                Skin                              239626                               0.564
                      Rag'n'Bone Man                               Human                              200186                               0.602
                       Rascal Flatts                   Life is a Highway                              276773                               0.561
                       Rascal Flatts                 What Hurts The Most                              214106                               0.537
                               Ray J                            One Wish                              337640                               0.525
                               Ray J          Sexy Can I feat. Yung Berg                              204040                               0.575
                          Razorlight                      In The Morning                              222453                               0.616
                          Razorlight                             America                              249760                               0.447
               Red Hot Chili Peppers                          By the Way                              216933                               0.451
               Red Hot Chili Peppers                                Snow                              334666                               0.427
               Red Hot Chili Peppers                     Dani California                              282160                               0.556
               Red Hot Chili Peppers                          Can't Stop                              269000                               0.618
               Red Hot Chili Peppers The Adventures of Rain Dance Maggie                              282400                               0.683
               Red Hot Chili Peppers                           Otherside                              255373                               0.458
                              Regard                             Ride It                              157605                                0.88
                                Reik                            Me Niego                              221653                               0.777
                            Rich Boy                      Throw Some D's                              263920                               0.697
                     Rich Homie Quan                                Flex                              176674                               0.676
                        Rich The Kid                           Plug Walk                              175229                               0.876
                        Ricky Martin           Nobody Wants to Be Lonely                              252706                               0.635
                        Ricky Martin                           She Bangs                              280626                                0.63
                             Rihanna                Don't Stop The Music                              267080                               0.835
                             Rihanna                                 SOS                              238920                               0.677
                             Rihanna                              Te Amo                              208426                               0.567
                             Rihanna                     What's My Name?                              263173                               0.692
                             Rihanna                            Umbrella                              275986                               0.583
                             Rihanna                       We Found Love                              215226                               0.735
                             Rihanna                    Russian Roulette                              227533                                0.48
                             Rihanna                           Only Girl                              235493                               0.789
                             Rihanna                   Shut Up And Drive                              212280                               0.735
                             Rihanna                            Diamonds                              225146                               0.564
                             Rihanna                       Pon de Replay                              246960                               0.779
                             Rihanna                           Needed Me                              191600                               0.671
                             Rihanna                                Hard                              250600                                0.31
                             Rihanna                 Where Have You Been                              242680                               0.719
                             Rihanna                                Work                              219320                               0.725
                             Rihanna          Bitch Better Have My Money                              219305                               0.781
                             Rihanna                            Rude Boy                              222920                               0.563
                             Rihanna                          Unfaithful                              226973                               0.588
                             Rihanna                          Take A Bow                              229413                               0.697
                             Rihanna                                 S&M                              243533                               0.767
                             Rihanna                       We Found Love                              215226                               0.735
                             Rihanna                     What's My Name?                              263173                               0.692
                             Rihanna                                Stay                              240706                               0.621
                             Rihanna                           Disturbia                              238626                               0.707
                             Rihanna                            Man Down                              267000                                0.47
                            Rita Ora                              R.I.P.                              228026                               0.603
                            Rita Ora                           How We Do                              247026                               0.738
                            Rita Ora           I Will Never Let You Down                              203466                               0.753
                            Rita Ora                            Anywhere                              215064                               0.628
                              Rixton              Me And My Broken Heart                              193733                               0.545
                        Rizzle Kicks              Down With The Trumpets                              186851                               0.753
                           Rob $tone                          Chill Bill                              177184                               0.886
                           Rob $tone                          Chill Bill                              177184                               0.886
                          Rob Thomas                      Lonely No More                              226640                               0.551
                     Robbie Williams                               Radio                              233600                               0.607
                     Robbie Williams                    Somethin' Stupid                              170493                               0.654
                     Robbie Williams                               Candy                              201053                               0.715
                     Robbie Williams                             Rock DJ                              258560                               0.708
                     Robbie Williams                            Eternity                              302760                               0.469
                     Robbie Williams                            Tripping                              276603                               0.666
                        Robin Schulz                               Sugar                              219043                               0.636
                        Robin Thicke                       Blurred Lines                              263053                               0.861
                               Robyn                With Every Heartbeat                              254920                               0.477
                               Robyn                   Dancing On My Own                              288670                               0.687
                       Roger Sanchez                      Another Chance                              452906                                0.61
                       Ronan Keating                     Lovin' Each Day                              212973                               0.541
                       Ronan Keating             If Tomorrow Never Comes                              214306                               0.555
                       Ronan Keating             Life Is A Rollercoaster                              234826                               0.655
                              Room 5                            Make Luv                              212413                               0.883
                            Route 94                             My Love                              259934                               0.814
                          Rudimental                       Feel the Love                              245186                               0.389
                          Rudimental                   Waiting All Night                              292586                               0.544
                           Ruff Endz                             No More                              242560                               0.839
                        Rui Da Silva                            Touch Me                              213133                               0.464
                       Russ Millions                      Keisha & Becky                              252906                               0.863
                        Ryan Cabrera                                TRUE                              204173                               0.598
                            S Club 7                       Have You Ever                              201533                               0.585
                            S Club 7                   Don't Stop Movin'                              233626                               0.822
                            SAYGRACE                    You Don't Own Me                              201493                               0.332
                            SAYGRACE                    You Don't Own Me                              199314                               0.336
                            Sak Noel                         Loca People                              215624                               0.926
                           Sam Feldt                         Post Malone                              174444                                0.59
                           Sam Smith                        Stay With Me                              172723                               0.418
                           Sam Smith                          Like I Can                              167065                               0.656
                           Sam Smith               Writing's On The Wall                              278987                               0.261
                           Sam Smith                    Money On My Mind                              192670                               0.688
                           Sam Smith                   How Do You Sleep?                              202204                               0.477
                           Sam Smith             Dancing With A Stranger                              171029                               0.741
                           Sam Smith                Too Good At Goodbyes                              201000                               0.681
                          Sam Sparro                        Black & Gold                              212360                               0.383
                      Samantha Mumba                      Gotta Tell You                              201946                               0.729
                              Sammie                           I Like It                              251040                               0.826
                          Sandi Thom          I Wish I Was a Punk Rocker                              151640                                 0.7
                             Santana                      Into the Night                              222440                               0.595
                             Santana                         Maria Maria                              261973                               0.777
                       Savage Garden                      Crash and Burn                              281466                               0.581
                         Saving Abel                            Addicted                              222826                               0.512
                            Saweetie                             My Type                              126446                               0.899
                         ScHoolboy Q                      Collard Greens                              299960                               0.826
                         ScHoolboy Q                     Man Of The Year                              216013                               0.743
                         ScHoolboy Q                  Hands on the Wheel                              197131                               0.646
                     Scissor Sisters                    Comfortably Numb                              266040                               0.803
                     Scissor Sisters           I Don't Feel Like Dancin'                              288360                               0.707
                             Scooter                    The Logical Song                              234116                               0.527
                             Scooter                             Nessaja                              208449                               0.486
                  Scouting For Girls              This Ain't a Love Song                              210680                               0.458
                       Sean Kingston                        Eenie Meenie                              201946                                0.72
                       Sean Kingston                     Beautiful Girls                              225373                               0.762
                       Sean Kingston                        Fire Burning                              239986                               0.839
                       Sean Kingston                      Take You There                              236693                               0.752
                           Sean Paul                            Get Busy                              211666                               0.735
                           Sean Paul                           Like Glue                              232506                               0.757
                           Sean Paul                       We Be Burnin'                              213066                                0.95
                           Sean Paul                    She Doesn't Mind                              227786                               0.718
                           Sean Paul                         Temperature                              218573                               0.951
                           Sean Paul                              No Lie                              221176                               0.742
                           Sean Paul                     Gimme the Light                              228000                               0.778
                           Sean Paul          I'm Still in Love with You                              273360                               0.765
                           Sean Paul                    Give It Up to Me                              243880                               0.711
                  Sebastian Ingrosso                              Reload                              221272                               0.485
                                Sech                          Otro Trago                              225933                               0.746
                             Seether                             Fake It                              193893                               0.611
                        Selena Gomez                              Fetish                              186112                               0.708
                        Selena Gomez                       Same Old Love                              229080                               0.672
                        Selena Gomez                       Come & Get It                              231986                               0.546
                        Selena Gomez                        Good For You                              221560                                 0.6
                        Selena Gomez       The Heart Wants What It Wants                              227360                               0.616
                        Selena Gomez       The Heart Wants What It Wants                              227373                               0.616
                        Selena Gomez               Kill Em With Kindness                              217906                               0.757
                        Selena Gomez                              Wolves                              197993                               0.724
                        Selena Gomez                       Same Old Love                              229080                               0.672
            Selena Gomez & The Scene                            Who Says                              195613                               0.682
            Selena Gomez & The Scene                           Naturally                              202586                               0.605
            Selena Gomez & The Scene           Love You Like A Love Song                              188453                               0.858
                           September                         Cry for You                              209800                               0.767
                           September                         Cry for You                              209800                               0.767
                              Shaggy                        It Wasn't Me                              227600                               0.853
                             Shakira                      Hips Don't Lie                              218093                               0.778
                             Shakira                 Whenever - Wherever                              196160                               0.794
                             Shakira             Underneath Your Clothes                              224066                               0.616
                             Shakira                          La Tortura                              212893                                0.74
                             Shakira                            She Wolf                              188866                               0.865
                        Shawn Mendes                    Treat You Better                              187973                               0.444
                        Shawn Mendes     There's Nothing Holdin' Me Back                              199440                               0.857
                        Shawn Mendes                               Mercy                              208733                               0.561
                        Shawn Mendes                            Senorita                              190799                               0.759
                        Shawn Mendes     I Know What You Did Last Summer                              223853                               0.687
                        Shawn Mendes                            Stitches                              206880                               0.746
                         Shayne Ward                      That's My Goal                              219600                               0.286
                         Shayne Ward                         No Promises                              223066                                 0.5
                           Sheck Wes                            Mo Bamba                              183906                               0.729
                            Sheppard                            Geronimo                              218227                               0.707
                           Shinedown                       Second Chance                              222066                                0.46
                           Shontelle                          Impossible                              226533                               0.599
                           Shop Boyz              Party Like A Rock Star                              253400                               0.619
                                 Sia                          Chandelier                              216120                               0.399
                                 Sia                       Cheap Thrills                              224813                               0.592
                                 Sia                       Elastic Heart                              257200                               0.421
                                 Sia                        The Greatest                              210226                               0.668
                       Sidney Samson                           Riverside                              320348                               0.804
                              Sigala                           Easy Love                              229813                                0.68
                              Sigala                       Wish You Well                              205653                               0.669
                              Sigala                        Sweet Lovin'                              202149                               0.683
                               Sigma                      Nobody To Love                              189720                               0.441
                             Silento                            Watch Me                              185131                               0.819
                          Simply Red                             Sunrise                              199040                               0.791
                               Sisqo                          Incomplete                              274226                               0.746
                               Sisqo                          Thong Song                              253733                               0.706
                             Skillet                             Monster                              178013                                0.64
                            Skrillex                           Bangarang                              215253                               0.716
                          Snoop Dogg                               Sweat                              195986                               0.813
                          Snoop Dogg               Drop It Like It's Hot                              266066                               0.892
                          Snoop Dogg                 Young - Wild & Free                              207333                               0.715
                          Snoop Dogg               Drop It Like It's Hot                              266066                               0.892
                          Snoop Dogg                           Beautiful                              299146                               0.893
                          Snoop Dogg                               Signs                              236813                                0.94
                          Snoop Dogg                   Sensual Seduction                              245520                               0.756
                         Snow Patrol                   You're All I Have                              273333                               0.467
                       So Solid Crew                          21 Seconds                              302826                               0.607
                         Sofia Reyes                           1 - 2 - 3                              201526                               0.792
                             Sonique                    It Feels So Good                              240866                               0.634
                        Sophie Ellis            Murder On The Dancefloor                              230013                               0.734
                          Soulja Boy                     Turn My Swag On                              206333                               0.546
                          Soulja Boy                          Crank That                              221933                               0.736
                          Soulja Boy              Kiss Me Thru The Phone                              193386                               0.758
                          Soulja Boy                          Crank That                              221933                               0.736
                          Special D.                        Come With Me                              185133                               0.739
                          Spiderbait                         Black Betty                              205973                               0.562
                              Staind                    It's Been Awhile                              264706                               0.509
                             Starley                          Call on Me                              222040                                0.67
                               Steps       It's the Way You Make Me Feel                              197360                               0.573
                       Stereophonics                              Dakota                              297426                               0.506
                          Steve Aoki                        Just Hold On                              198774                               0.647
                               Sting                         Desert Rose                              285960                               0.586
                         Storm Queen                  Look Right Through                              150400                               0.832
                             Stormzy                           Vossi Bop                              196266                               0.682
                             Stromae                           Papaoutai                              232146                               0.733
                             Stromae                      Alors on danse                              206066                               0.791
                           Sugababes                         Round Round                              236426                                0.74
                           Sugababes                     Too Lost In You                              237693                               0.586
                           Sugababes                     Too Lost In You                              237693                               0.586
                           Sugababes                       Freak Like Me                              195866                               0.517
                           Sugababes                       About You Now                              212400                               0.584
                           Sugababes                    Hole In The Head                              218173                               0.785
                           Sugababes                     Push The Button                              218093                               0.962
                   Sunshine Anderson                 Heard It All Before                              295826                               0.697
                 Swedish House Mafia                                 One                              163246                               0.733
                 Swedish House Mafia                       Miami 2 Ibiza                              206460                               0.736
                 Swedish House Mafia               Don't You Worry Child                              212862                               0.612
                 Swedish House Mafia                      Save The World                              213337                               0.507
                          Switchfoot                       Meant to Live                              201373                               0.397
                                   T                           I'm N Luv                              265333                               0.731
                                   T                           Bartender                              238800                               0.675
                                   T                          I'm Sprung                              231040                               0.722
                                   T                    Can't Believe It                              273826                               0.648
                                   T                       Buy U a Drank                              227960                               0.451
                                T.I.                       Dead And Gone                              299746                               0.713
                                T.I.                      Live Your Life                              338853                               0.375
                                T.I.                   Whatever You Like                              249533                                0.68
                                T.I.                        Bring Em Out                              216706                               0.759
                                T.I.                       What You Know                              274333                               0.551
                                T.I.                   Whatever You Like                              249533                                0.68
                                T.I.                      Live Your Life                              338853                               0.375
                                  T2                         Heartbroken                              178613                               0.716
                           Taio Cruz                            Dynamite                              202613                               0.751
                           Taio Cruz                              Higher                              187626                               0.672
                           Taio Cruz                    Break Your Heart                              201546                               0.607
                           Take That                      Rule The World                              237760                               0.357
                           Take That                            Patience                              202066                               0.309
                           Take That                            Patience                              202066                               0.309
                           Take That                           The Flood                              289359                               0.514
                         Tame Impala          The Less I Know The Better                              216320                                0.64
                               Tamia                Stranger in My House                              285386                               0.676
                        Taylor Swift                           Bad Blood                              200106                               0.654
                        Taylor Swift            I Knew You Were Trouble.                              219720                               0.622
                        Taylor Swift                  You Belong With Me                              231146                               0.687
                        Taylor Swift            I Knew You Were Trouble.                              219720                               0.622
                        Taylor Swift                      Wildest Dreams                              220440                               0.553
                        Taylor Swift            Look What You Made Me Do                              211853                               0.766
                        Taylor Swift                                  22                              232120                               0.661
                        Taylor Swift                         Blank Space                              231826                                0.76
                        Taylor Swift                           Bad Blood                              211933                               0.646
                        Taylor Swift                               Style                              231000                               0.588
                        Taylor Swift                          Love Story                              236266                               0.617
                        Taylor Swift                    Back To December                              293026                               0.529
                        Taylor Swift                        Cruel Summer                              178426                               0.552
                        Taylor Swift                               Style                              231000                               0.588
                        Taylor Swift                        Shake It Off                              219200                               0.647
                        Taylor Swift                    ...Ready For It?                              208186                               0.613
                        Terror Squad                           Lean Back                              247426                               0.783
                                 The                     I Luv Your Girl                              267866                               0.723
                                 The                   Rockin' That Shit                              221920                               0.672
                             The All                 Dirty Little Secret                              193653                               0.469
                             The All                 Dirty Little Secret                              193653                               0.469
                      The Band Perry                      If I Die Young                              222773                               0.606
                      The Band Perry                      If I Die Young                              222773                               0.606
                         The Calling                Wherever You Will Go                              208600                               0.558
                    The Chainsmokers                            Sick Boy                              193200                               0.663
                    The Chainsmokers                   Don't Let Me Down                              208373                               0.532
                    The Chainsmokers            Something Just Like This                              247160                               0.617
                    The Chainsmokers                               Paris                              221506                               0.653
                    The Chainsmokers                             #SELFIE                              183750                               0.789
